reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,case_folding,clean,token,normalization,normalization_join,stemming,cleaning
6afdb9cf-70b0-4a4a-96ff-a83f3d2d0a71,Akun Baru,https://play-lh.googleusercontent.com/a/ACg8ocIwrP1MxThWS9QRm_MzMk-IQe3yAS5zVZ4JQsYfsHq4mPxK9A=mo,"bonus saldo gak bisa di gunakan , tolong yang bisa bantu ajarin saya",5,0,6.6.0,2024-04-07 15:22:10,,,6.6.0,negative,"bonus saldo gak bisa di gunakan , tolong yang bisa bantu ajarin saya",bonus saldo gak bisa di gunakan tolong yang bisa bantu ajarin saya,"['bonus', 'saldo', 'gak', 'bisa', 'di', 'gunakan', 'tolong', 'yang', 'bisa', 'bantu', 'ajarin', 'saya']","['bonus', 'saldo', 'tidak', 'bisa', 'di', 'gunakan', 'tolong', 'yang', 'bisa', 'bantu', 'ajarkan', 'saya']",bonus saldo tidak bisa di gunakan tolong yang bisa bantu ajarkan saya,"['bonus', 'saldo', 'tidak', 'bisa', 'di', 'guna', 'tolong', 'yang', 'bisa', 'bantu', 'ajar', 'saya']",bonus saldo tidak bisa di guna tolong yang bisa bantu ajar saya
ae9ae45d-6568-4ee4-a062-3708a1632d07,muhammad sulaiman,https://play-lh.googleusercontent.com/a-/ALV-UjUY_Zm5_AujPcnvto1bu5ur65vkwcBnSIgU7pmKabe6Q0S-gVI,map titik penjemputan kadang berubah2 dan membuat driver bingung,3,0,6.6.0,2024-04-01 17:02:08,,,6.6.0,negative,map titik penjemputan kadang berubah2 dan membuat driver bingung,map titik penjemputan kadang berubah dan membuat driver bingung,"['map', 'titik', 'penjemputan', 'kadang', 'berubah', 'dan', 'membuat', 'driver', 'bingung']","['map', 'titik', 'penjemputan', 'kadang', 'berubah', 'dan', 'membuat', 'driver', 'bingung']",map titik penjemputan kadang berubah dan membuat driver bingung,"['map', 'titik', 'jemput', 'kadang', 'ubah', 'dan', 'buat', 'driver', 'bingung']",map titik jemput kadang ubah dan buat driver bingung
02246869-d0f3-4711-bc94-59069397343b,kunto Baskoro,https://play-lh.googleusercontent.com/a/ACg8ocIFHQNLL9SBSpt73--llBMcpE6NQjVJpo02P0oXUmvsWQ_KGg=mo,Jangan Setiap Hari Di Update Sayang pulsa datanya mahal,5,0,6.4.3,2024-03-25 06:04:06,,,6.4.3,negative,jangan setiap hari di update sayang pulsa datanya mahal,jangan setiap hari di update sayang pulsa datanya mahal,"['jangan', 'setiap', 'hari', 'di', 'update', 'sayang', 'pulsa', 'datanya', 'mahal']","['jangan', 'setiap', 'hari', 'di', 'perbarui', 'sayang', 'pulsa', 'datanya', 'mahal']",jangan setiap hari di perbarui sayang pulsa datanya mahal,"['jangan', 'tiap', 'hari', 'di', 'baru', 'sayang', 'pulsa', 'data', 'mahal']",jangan tiap hari di baru sayang pulsa data mahal
81546f31-632c-4843-b6fc-a7db68e7ff13,Agus Pariyanto,https://play-lh.googleusercontent.com/a-/ALV-UjWkADd7z-p_1fOJ6t6A2t6-7ZeHoWqAaX77vg5PEnBB3n0Rf1YW,Membantu kebutuhan transportasi di jogja khususnya,5,0,6.5.0,2024-03-19 20:17:32,,,6.5.0,neutral,membantu kebutuhan transportasi di jogja khususnya,membantu kebutuhan transportasi di jogja khususnya,"['membantu', 'kebutuhan', 'transportasi', 'di', 'jogja', 'khususnya']","['membantu', 'kebutuhan', 'transportasi', 'di', 'jogja', 'khususnya']",membantu kebutuhan transportasi di jogja khususnya,"['bantu', 'kebutuhan', 'transportasi', 'di', 'jogja', 'khusus']",bantu kebutuhan transportasi di jogja khusus
e3261067-91f0-4bc4-839a-630d7d7cf506,Albert Solo,https://play-lh.googleusercontent.com/a-/ALV-UjVQYVCPJHnryykS6tqXjDJ29680B_GgktzPA0i4g_mY-9ujRRPhng,Hanya ada di Yogjakarta,4,0,6.5.0,2024-03-16 11:22:21,,,6.5.0,neutral,hanya ada di yogjakarta,hanya ada di yogjakarta,"['hanya', 'ada', 'di', 'yogjakarta']","['hanya', 'ada', 'di', 'yogyakarta']",hanya ada di yogyakarta,"['hanya', 'ada', 'di', 'yogyakarta']",hanya ada di yogyakarta
f93991b4-bd14-473e-8a28-275e0189e91f,Dina Izza,https://play-lh.googleusercontent.com/a-/ALV-UjUdsIia4TNz3zJsKrCt8ScN7ZmuaWDkD5_bDdf5tzetbvEH7mpoFQ,"Order makanan, dibatalin driver, uangnya baliknya ke aplikasi, ga bisa ditarik, kalo ditarik kena potongan.haduuuhhhhh kalo ada bintang nol aku kasih bintang nol sihhhh!!!!!!!!!!!! PARAHHHH",1,0,,2024-03-14 17:54:23,,,,negative,"order makanan, dibatalin driver, uangnya baliknya ke aplikasi, ga bisa ditarik, kalo ditarik kena potongan.haduuuhhhhh kalo ada bintang nol aku kasih bintang nol sihhhh!!!!!!!!!!!! parahhhh",order makanan dibatalin driver uangnya baliknya ke aplikasi ga bisa ditarik kalo ditarik kena potongan haduuuhhhhh kalo ada bintang nol aku kasih bintang nol sihhhh parahhhh,"['order', 'makanan', 'dibatalin', 'driver', 'uangnya', 'baliknya', 'ke', 'aplikasi', 'ga', 'bisa', 'ditarik', 'kalo', 'ditarik', 'kena', 'potongan', 'haduuuhhhhh', 'kalo', 'ada', 'bintang', 'nol', 'aku', 'kasih', 'bintang', 'nol', 'sihhhh', 'parahhhh']","['order', 'makanan', 'dibatalkan', 'driver', 'uangnya', 'baliknya', 'ke', 'aplikasi', 'tidak', 'bisa', 'ditarik', 'kalau', 'ditarik', 'kena', 'potongan', 'haduuuhhhhh', 'kalau', 'ada', 'bintang', 'nol', 'aku', 'kasih', 'bintang', 'nol', 'sih', 'parah']",order makanan dibatalkan driver uangnya baliknya ke aplikasi tidak bisa ditarik kalau ditarik kena potongan haduuuhhhhh kalau ada bintang nol aku kasih bintang nol sih parah,"['order', 'makan', 'batal', 'driver', 'uang', 'balik', 'ke', 'aplikasi', 'tidak', 'bisa', 'tarik', 'kalau', 'tarik', 'kena', 'potongan', 'haduuuhhhhh', 'kalau', 'ada', 'bintang', 'nol', 'aku', 'kasih', 'bintang', 'nol', 'sih', 'parah']",order makan batal driver uang balik ke aplikasi tidak bisa tarik kalau tarik kena potongan haduuuhhhhh kalau ada bintang nol aku kasih bintang nol sih parah
7343aa81-ce0b-47e6-b232-2db82dc9b91b,Risman Permana,https://play-lh.googleusercontent.com/a/ACg8ocK_XlyxfSBPnlE2qS3kLKnGJYhIz1EuXGg3W6RB0S-Wd__YzQ=mo,Aplikasi busuk,1,0,,2024-03-11 09:47:23,,,,negative,aplikasi busuk,aplikasi busuk,"['aplikasi', 'busuk']","['aplikasi', 'busuk']",aplikasi busuk,"['aplikasi', 'busuk']",aplikasi busuk
bf83df81-1674-4798-af13-923558666aac,Bustami Kurniawan Widyatno,https://play-lh.googleusercontent.com/a/ACg8ocJ_qhUu36l2YzOns1hy6rEUgq_aa1lseAdnsQiaszpCeClcVA=mo,makasih mbak,5,0,6.3.0,2024-03-09 18:04:20,,,6.3.0,positive,makasih mbak,makasih mbak,"['makasih', 'mbak']","['terima', 'kasih', 'mbak']",terima kasih mbak,"['terima', 'kasih', 'mbak']",terima kasih mbak
219ff5ca-8648-47a1-9a87-f06bf9b82534,Kurnaidi Adi,https://play-lh.googleusercontent.com/a/ACg8ocK79YANfsiVU5M4nn3xH23RiHUWEXs6s7jAwl6CLqaw0Si8KA=mo,Keren,5,0,,2024-03-07 05:21:54,,,,positive,keren,keren,['keren'],['keren'],keren,['keren'],keren
761efd4a-04b8-4457-91e8-0235ff1b8481,MUHAMMAD ZAKI ROBBI AKHSIN -,https://play-lh.googleusercontent.com/a-/ALV-UjWoXDnIZC1IbUe05NVU-ubQVSALuG-NwmILiwbP7slM49Ul_9FR,"Aplikasinya bagus, tidak kalah dengan aplikasi lain yang sudah besar. Tp saya ada satu catatan, aplikasi ini terlalu berat dan hp menjadi cepat panas saat melakukan order",5,9,6.5.0,2024-03-03 13:12:33,,,6.5.0,negative,"aplikasinya bagus, tidak kalah dengan aplikasi lain yang sudah besar. tp saya ada satu catatan, aplikasi ini terlalu berat dan hp menjadi cepat panas saat melakukan order",aplikasinya bagus tidak kalah dengan aplikasi lain yang sudah besar tp saya ada satu catatan aplikasi ini terlalu berat dan hp menjadi cepat panas saat melakukan order,"['aplikasinya', 'bagus', 'tidak', 'kalah', 'dengan', 'aplikasi', 'lain', 'yang', 'sudah', 'besar', 'tp', 'saya', 'ada', 'satu', 'catatan', 'aplikasi', 'ini', 'terlalu', 'berat', 'dan', 'hp', 'menjadi', 'cepat', 'panas', 'saat', 'melakukan', 'order']","['aplikasinya', 'bagus', 'tidak', 'kalah', 'dengan', 'aplikasi', 'lakan', 'yang', 'sudah', 'besar', 'tetapi', 'saya', 'ada', 'satu', 'catatan', 'aplikasi', 'ini', 'terlalu', 'berat', 'dan', 'hp', 'menjadi', 'cepat', 'panas', 'saat', 'melakukan', 'order']",aplikasinya bagus tidak kalah dengan aplikasi lakan yang sudah besar tetapi saya ada satu catatan aplikasi ini terlalu berat dan hp menjadi cepat panas saat melakukan order,"['aplikasi', 'bagus', 'tidak', 'kalah', 'dengan', 'aplikasi', 'lak', 'yang', 'sudah', 'besar', 'tetapi', 'saya', 'ada', 'satu', 'catat', 'aplikasi', 'ini', 'terlalu', 'berat', 'dan', 'hp', 'jadi', 'cepat', 'panas', 'saat', 'melakukan', 'order']",aplikasi bagus tidak kalah dengan aplikasi lak yang sudah besar tetapi saya ada satu catat aplikasi ini terlalu berat dan hp jadi cepat panas saat melakukan order
15bc3a23-dbdd-4c6a-b958-46797e334cfd,Faizal Rozy,https://play-lh.googleusercontent.com/a/ACg8ocJ2Xos29-njRieijPqGZXcYadpLl74-d1TMuqIoAlDvYSHE8A=mo,1. Udah pake pembayaran non tunai. Pas g lama dichat drivernya bilang kalo g punya uang buat bayar ke toko. 3x loh kaya gini di hari yg sama. Sy diberi qris lagi sm driver buat bayar. Lah kan udah non tunai. Udah lunas. Disuruh bayar double? 3x cancel gara2 driver g punya uang buat bayar. Aneh! 2. Di aplikasi ada promo. Sy pake tu promo. Di chat sama driver kalo harganya g sesuai. Disuruh bayar lagi sejumlah promonya ke driver. Kan aneh. Masa uang promo disuruh balikin ke driver,1,10,6.5.0,2024-02-25 06:28:51,,,6.5.0,negative,1. udah pake pembayaran non tunai. pas g lama dichat drivernya bilang kalo g punya uang buat bayar ke toko. 3x loh kaya gini di hari yg sama. sy diberi qris lagi sm driver buat bayar. lah kan udah non tunai. udah lunas. disuruh bayar double? 3x cancel gara2 driver g punya uang buat bayar. aneh! 2. di aplikasi ada promo. sy pake tu promo. di chat sama driver kalo harganya g sesuai. disuruh bayar lagi sejumlah promonya ke driver. kan aneh. masa uang promo disuruh balikin ke driver, udah pake pembayaran non tunai pas g lama dichat drivernya bilang kalo g punya uang buat bayar ke toko loh kaya gini di hari yg sama sy diberi qris lagi sm driver buat bayar lah kan udah non tunai udah lunas disuruh bayar double cancel gara driver g punya uang buat bayar aneh di aplikasi ada promo sy pake tu promo di chat sama driver kalo harganya g sesuai disuruh bayar lagi sejumlah promonya ke driver kan aneh masa uang promo disuruh balikin ke driver,"['udah', 'pake', 'pembayaran', 'non', 'tunai', 'pas', 'g', 'lama', 'dichat', 'drivernya', 'bilang', 'kalo', 'g', 'punya', 'uang', 'buat', 'bayar', 'ke', 'toko', 'loh', 'kaya', 'gini', 'di', 'hari', 'yg', 'sama', 'sy', 'diberi', 'qris', 'lagi', 'sm', 'driver', 'buat', 'bayar', 'lah', 'kan', 'udah', 'non', 'tunai', 'udah', 'lunas', 'disuruh', 'bayar', 'double', 'cancel', 'gara', 'driver', 'g', 'punya', 'uang', 'buat', 'bayar', 'aneh', 'di', 'aplikasi', 'ada', 'promo', 'sy', 'pake', 'tu', 'promo', 'di', 'chat', 'sama', 'driver', 'kalo', 'harganya', 'g', 'sesuai', 'disuruh', 'bayar', 'lagi', 'sejumlah', 'promonya', 'ke', 'driver', 'kan', 'aneh', 'masa', 'uang', 'promo', 'disuruh', 'balikin', 'ke', 'driver']","['sudah', 'pakai', 'pembayaran', 'tidak', 'tunai', 'pas', 'tidak', 'lama', 'dichat', 'drivernya', 'bilang', 'kalau', 'tidak', 'punya', 'uang', 'buat', 'bayar', 'ke', 'toko', 'loh', 'kayak', 'begini', 'di', 'hari', 'yang', 'sama', 'saya', 'diberi', 'qris', 'lagi', 'sama', 'driver', 'buat', 'bayar', 'lah', 'kan', 'sudah', 'tidak', 'tunai', 'sudah', 'lunas', 'disuruh', 'bayar', 'dobel', 'batal', 'karena', 'driver', 'tidak', 'punya', 'uang', 'buat', 'bayar', 'aneh', 'di', 'aplikasi', 'ada', 'promo', 'saya', 'pakai', 'itu', 'promo', 'di', 'chat', 'sama', 'driver', 'kalau', 'harganya', 'tidak', 'sesuai', 'disuruh', 'bayar', 'lagi', 'sejumlah', 'promonya', 'ke', 'driver', 'kan', 'aneh', 'masa', 'uang', 'promo', 'disuruh', 'balikkan', 'ke', 'driver']",sudah pakai pembayaran tidak tunai pas tidak lama dichat drivernya bilang kalau tidak punya uang buat bayar ke toko loh kayak begini di hari yang sama saya diberi qris lagi sama driver buat bayar lah kan sudah tidak tunai sudah lunas disuruh bayar dobel batal karena driver tidak punya uang buat bayar aneh di aplikasi ada promo saya pakai itu promo di chat sama driver kalau harganya tidak sesuai disuruh bayar lagi sejumlah promonya ke driver kan aneh masa uang promo disuruh balikkan ke driver,"['sudah', 'pakai', 'bayar', 'tidak', 'tunai', 'pas', 'tidak', 'lama', 'chat', 'driver', 'bilang', 'kalau', 'tidak', 'punya', 'uang', 'buat', 'bayar', 'ke', 'toko', 'loh', 'kayak', 'begini', 'di', 'hari', 'yang', 'sama', 'saya', 'beri', 'qris', 'lagi', 'sama', 'driver', 'buat', 'bayar', 'lah', 'kan', 'sudah', 'tidak', 'tunai', 'sudah', 'lunas', 'suruh', 'bayar', 'dobel', 'batal', 'karena', 'driver', 'tidak', 'punya', 'uang', 'buat', 'bayar', 'aneh', 'di', 'aplikasi', 'ada', 'promo', 'saya', 'pakai', 'itu', 'promo', 'di', 'chat', 'sama', 'driver', 'kalau', 'harga', 'tidak', 'sesuai', 'suruh', 'bayar', 'lagi', 'jumlah', 'promo', 'ke', 'driver', 'kan', 'aneh', 'masa', 'uang', 'promo', 'suruh', 'balik', 'ke', 'driver']",sudah pakai bayar tidak tunai pas tidak lama chat driver bilang kalau tidak punya uang buat bayar ke toko loh kayak begini di hari yang sama saya beri qris lagi sama driver buat bayar lah kan sudah tidak tunai sudah lunas suruh bayar dobel batal karena driver tidak punya uang buat bayar aneh di aplikasi ada promo saya pakai itu promo di chat sama driver kalau harga tidak sesuai suruh bayar lagi jumlah promo ke driver kan aneh masa uang promo suruh balik ke driver
afff78a3-43e4-42fa-9b3a-e2ad8e04f93f,EA Raps,https://play-lh.googleusercontent.com/a-/ALV-UjUqJs5vZbMLYDnsaQ4x2LnRUutc8jBSZnr1d7FzMhSR0h0RFMdaYw,Sedihnya pembatalan tdk bs kembali dana. Jadi point yg ga bs diambil. Harus pesan lagi dan ga bs dipakai lagi krn dibawah nominal setelah pemakaian pertama . Payah.,1,0,6.5.0,2024-02-23 20:34:36,,,6.5.0,negative,sedihnya pembatalan tdk bs kembali dana. jadi point yg ga bs diambil. harus pesan lagi dan ga bs dipakai lagi krn dibawah nominal setelah pemakaian pertama . payah.,sedihnya pembatalan tdk bs kembali dana jadi point yg ga bs diambil harus pesan lagi dan ga bs dipakai lagi krn dibawah nominal setelah pemakaian pertama payah ,"['sedihnya', 'pembatalan', 'tdk', 'bs', 'kembali', 'dana', 'jadi', 'point', 'yg', 'ga', 'bs', 'diambil', 'harus', 'pesan', 'lagi', 'dan', 'ga', 'bs', 'dipakai', 'lagi', 'krn', 'dibawah', 'nominal', 'setelah', 'pemakaian', 'pertama', 'payah']","['sedihnya', 'pembatalan', 'tidak', 'bisa', 'kembali', 'dana', 'jadi', 'poin', 'yang', 'tidak', 'bisa', 'diambil', 'harus', 'pesan', 'lagi', 'dan', 'tidak', 'bisa', 'dipakai', 'lagi', 'karena', 'dibawah', 'nominal', 'setelah', 'pemakaian', 'pertama', 'payah']",sedihnya pembatalan tidak bisa kembali dana jadi poin yang tidak bisa diambil harus pesan lagi dan tidak bisa dipakai lagi karena dibawah nominal setelah pemakaian pertama payah,"['sedih', 'batal', 'tidak', 'bisa', 'kembali', 'dana', 'jadi', 'poin', 'yang', 'tidak', 'bisa', 'ambil', 'harus', 'pesan', 'lagi', 'dan', 'tidak', 'bisa', 'pakai', 'lagi', 'karena', 'bawah', 'nominal', 'setelah', 'pemakaian', 'pertama', 'payah']",sedih batal tidak bisa kembali dana jadi poin yang tidak bisa ambil harus pesan lagi dan tidak bisa pakai lagi karena bawah nominal setelah pemakaian pertama payah
18b39f0d-ea51-4043-8725-e7d8f585d08e,Afif Beno,https://play-lh.googleusercontent.com/a-/ALV-UjUQPdYXYwXCd8nurL3MYri1hxtJ-uzqPa94zuBQIvPik2fAYLD8,help,5,0,6.4.3,2024-02-09 16:24:25,,,6.4.3,positive,help,help,['help'],['help'],help,['help'],help
e7eb9b71-e9d4-4c75-b1be-5f6785e3411d,Ika Rasya,https://play-lh.googleusercontent.com/a/ACg8ocIM0D1Jfl8xbvnSxx_mf_XKvBmfPQgTDF2ZaovGmcdREkSg=mo,terimakasih,5,0,6.4.2,2024-02-06 00:10:10,,,6.4.2,positive,terimakasih,terimakasih,['terimakasih'],"['terima', 'kasih']",terima kasih,"['terima', 'kasih']",terima kasih
b8361e8d-760c-470f-bcaf-89137e523fd4,Cantika Putri,https://play-lh.googleusercontent.com/a/ACg8ocJ6OehJfZT5r7FQi7UuWmF9h2TdWQ4l5cZBh_aNgAsx01n91Q=mo,"terimakasih pak driver tetep semangat 💪 walaupun hujan ,demi keluarga pak💪",5,0,6.4.2,2024-02-04 21:07:35,,,6.4.2,positive,"terimakasih pak driver tetep semangat 💪 walaupun hujan ,demi keluarga pak💪",terimakasih pak driver tetep semangat walaupun hujan demi keluarga pak ,"['terimakasih', 'pak', 'driver', 'tetep', 'semangat', 'walaupun', 'hujan', 'demi', 'keluarga', 'pak']","['terima', 'kasih', 'pak', 'driver', 'tetap', 'semangat', 'walaupun', 'hujan', 'demi', 'keluarga', 'pak']",terima kasih pak driver tetap semangat walaupun hujan demi keluarga pak,"['terima', 'kasih', 'pak', 'driver', 'tetap', 'semangat', 'walaupun', 'hujan', 'demi', 'keluarga', 'pak']",terima kasih pak driver tetap semangat walaupun hujan demi keluarga pak
